date,weight_SPY,weight_TLT,weight_GLD,weight_USO,weight_UUP,gross_return,net_return,turnover,regime,hmm_order
2023-06-02,0.0,0.32199446332927145,0.6000000000000001,8.007408801587655e-17,0.07800553667072843,-0.011549163818593625,-0.01181016105025826,0.5219944633292716,1,4
2023-06-05,0.0,0.3219944633292715,0.6000000000000001,8.007408801587657e-17,0.07800553667072845,0.0028758546870083605,0.0028758546870083605,3.469446951953615e-17,1,4
2023-06-06,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,0.00280283155168131,0.00280283155168131,5.551115123125783e-17,1,4
2023-06-07,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,-0.011958731090064829,-0.011958731090064829,0.0,1,4
2023-06-08,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,0.01106623284814457,0.01106623284814457,0.0,1,4
2023-06-09,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,-0.0018050084574557914,-0.0018050084574557914,0.0,1,4
2023-06-12,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,0.00044774146744992413,0.00044774146744992413,0.0,1,4
2023-06-13,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,-0.007848370495132507,-0.007848370495132507,0.0,1,4
2023-06-14,0.0,0.3219944633292715,0.6,8.007408801587657e-17,0.07800553667072845,0.00252474914922625,0.00252474914922625,0.0,1,4
2023-06-15,0.07800553667072854,0.3219944633292715,0.6,0.0,0.0,0.008278532401349521,0.008239529633014157,0.07800553667072854,1,4
2023-06-16,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,-0.0024429668214307684,-0.002446417270840869,0.006900898820201417,1,4
2023-06-20,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,-0.0043034423684775586,-0.0043034423684775586,0.0,1,4
2023-06-21,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,-0.00043624668766459795,-0.00043624668766459795,0.0,1,4
2023-06-22,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,-0.009663413754847642,-0.009663413754847642,0.0,1,4
2023-06-23,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,0.004395879067868627,0.004395879067868627,0.0,1,4
2023-06-26,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,0.0011033469080729153,0.0011033469080729153,0.0,1,4
2023-06-27,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,-0.0028351293520049703,-0.0028351293520049703,0.0,1,4
2023-06-28,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,5.401619245539108e-05,5.401619245539108e-05,0.0,1,4
2023-06-29,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,-0.006298878472417241,-0.006298878472417241,0.0,1,4
2023-06-30,0.0711046378505271,0.3288953621494729,0.6,1.3053495582886964e-18,0.0,0.00871646755973229,0.00871646755973229,0.0,1,4
2023-07-03,0.6000000000000001,0.32889536214947274,1.0755285551056205e-16,0.07110463785052716,2.355667448964208e-17,-0.0013531958102387734,-0.0016531958102387733,0.6000000000000001,4,4
2023-07-05,0.6000000000000001,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.0026268580141097122,-0.0026268580141097122,3.469446951953615e-17,4,4
2023-07-06,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.009558973126622405,-0.009558973126622405,5.551115123125783e-17,4,4
2023-07-07,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.0019387026322782654,-0.0019387026322782654,0.0,4,4
2023-07-10,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0016153904153245737,0.0016153904153245737,0.0,4,4
2023-07-11,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0071283867845644885,0.0071283867845644885,0.0,4,4
2023-07-12,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.009379747015167809,0.009379747015167809,0.0,4,4
2023-07-13,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.009497880318224565,0.009497880318224565,0.0,4,4
2023-07-14,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.003977868623517972,-0.003977868623517972,0.0,4,4
2023-07-17,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0013078174596107468,0.0013078174596107468,0.0,4,4
2023-07-18,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.00742506238159712,0.00742506238159712,0.0,4,4
2023-07-19,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.004767037427474687,0.004767037427474687,0.0,4,4
2023-07-20,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.007595870018092047,-0.007595870018092047,0.0,4,4
2023-07-21,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0010792305430581777,0.0010792305430581777,0.0,4,4
2023-07-24,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0032363372843090907,0.0032363372843090907,0.0,4,4
2023-07-25,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0014942822594001149,0.0014942822594001149,0.0,4,4
2023-07-26,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-8.229794827230283e-05,-8.229794827230283e-05,0.0,4,4
2023-07-27,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.009601191064803904,-0.009601191064803904,0.0,4,4
2023-07-28,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.00822038912977684,0.00822038912977684,0.0,4,4
2023-07-31,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.002998615389803661,0.002998615389803661,0.0,4,4
2023-08-01,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.007310632742626201,-0.007310632742626201,0.0,4,4
2023-08-02,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.013307703358077851,-0.013307703358077851,0.0,4,4
2023-08-03,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.007656388691497381,-0.007656388691497381,0.0,4,4
2023-08-04,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0037438512607927145,0.0037438512607927145,0.0,4,4
2023-08-07,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.0020291761747157433,0.0020291761747157433,0.0,4,4
2023-08-08,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,0.001441365038945455,0.001441365038945455,0.0,4,4
2023-08-09,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.0013118620468687255,-0.0013118620468687255,0.0,4,4
2023-08-10,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.00605117999661108,-0.00605117999661108,0.0,4,4
2023-08-11,0.6,0.3288953621494728,1.0755285551056206e-16,0.07110463785052717,2.3556674489642082e-17,-0.0010587290079754215,-0.0010587290079754215,0.0,4,4
2023-08-14,0.47143143693236206,0.3288953621494728,0.19967320091816518,0.0,0.0,0.0012709023864423074,0.001171065785983225,0.19967320091816507,3,4
2023-08-15,0.374834438448177,0.3288953621494728,0.2962701994023502,0.0,0.0,-0.007157492111663665,-0.0072057906109057575,0.09659699848418506,3,4
