Date,IEF,LQD,TIP
2005-01-03,47.43882751464844,46.77017593383789,53.38677978515625
2005-01-04,47.14345169067383,46.50773620605469,53.01835632324219
2005-01-05,47.22151184082031,46.545223236083984,52.95782470703125
2005-01-06,47.266109466552734,46.57853698730469,53.04359436035156
2005-01-07,47.227054595947266,46.55772018432617,52.907344818115234
2005-01-10,47.22151184082031,46.47855758666992,52.94269561767578
2005-01-11,47.31623077392578,46.58687210083008,52.99311447143555
2005-01-12,47.388648986816406,46.63271713256836,53.179874420166016
2005-01-13,47.57816696166992,46.757686614990234,53.31615447998047
2005-01-14,47.550323486328125,46.8118896484375,53.3211669921875
2005-01-18,47.53354263305664,46.83688735961914,53.3211669921875
2005-01-19,47.5614128112793,46.90773391723633,53.27070236206055
2005-01-20,47.645015716552734,46.82435607910156,53.29593276977539
2005-01-21,47.739784240722656,46.92854690551758,53.37165832519531
2005-01-24,47.734222412109375,47.01188659667969,53.462520599365234
2005-01-25,47.55585479736328,46.85356521606445,53.119300842285156
2005-01-26,47.567039489746094,46.87024688720703,53.18491744995117
2005-01-27,47.49456787109375,46.77017593383789,53.16979217529297
2005-01-28,47.739784240722656,47.041038513183594,53.37664794921875
2005-01-31,47.75654220581055,47.041038513183594,53.4069938659668
2005-02-01,47.723514556884766,47.03141784667969,53.31702423095703
2005-02-02,47.729087829589844,46.98961639404297,53.22603988647461
2005-02-03,47.65085220336914,47.048126220703125,53.1350212097168
2005-02-04,47.89683532714844,47.1987419128418,53.4787712097168
2005-02-07,47.991859436035156,47.2154655456543,53.65568542480469
2005-02-08,48.036537170410156,47.386905670166016,53.918514251708984
2005-02-09,48.27136993408203,47.55423355102539,54.21169662475586
2005-02-10,47.96949005126953,47.386905670166016,53.898311614990234
2005-02-11,47.908016204833984,47.248878479003906,53.923561096191406
2005-02-14,47.96949005126953,47.328365325927734,54.12578201293945
2005-02-15,47.89683532714844,47.25724792480469,53.84270095825195
2005-02-16,47.723514556884766,47.03141784667969,53.701171875
2005-02-17,47.6173210144043,46.926876068115234,53.6354866027832
2005-02-18,47.37694549560547,46.84743118286133,53.57985305786133
2005-02-22,47.38254928588867,46.805580139160156,53.428226470947266
2005-02-23,47.421661376953125,46.872501373291016,53.544498443603516
2005-02-24,47.34341049194336,46.78045654296875,53.428226470947266
2005-02-25,47.410518646240234,46.8641471862793,53.402915954589844
2005-02-28,47.10301208496094,46.600616455078125,53.12491989135742
2005-03-01,47.10356903076172,46.5918083190918,53.15023422241211
2005-03-02,47.09798049926758,46.608642578125,53.210853576660156
2005-03-03,47.069915771484375,46.60437774658203,53.28670883178711
2005-03-04,47.2829475402832,46.75558090209961,53.5040283203125
2005-03-07,47.294158935546875,46.88991928100586,53.65568542480469
2005-03-08,47.069915771484375,46.67998504638672,53.51415252685547
2005-03-09,46.711204528808594,46.23493194580078,53.155242919921875
2005-03-10,46.79528045654297,46.297889709472656,53.04908752441406
2005-03-11,46.59907531738281,46.218143463134766,52.8216438293457
2005-03-14,46.711204528808594,46.213958740234375,52.92277526855469
2005-03-15,46.62148666381836,46.025020599365234,52.85199737548828
2005-03-16,46.72802734375,46.18455123901367,53.04908752441406
2005-03-17,46.907405853271484,46.07957458496094,53.23617172241211
2005-03-18,46.789642333984375,45.94103240966797,53.155242919921875
2005-03-21,46.7336540222168,45.88641357421875,53.059200286865234
2005-03-22,46.39167404174805,45.49177169799805,52.70539474487305
2005-03-23,46.498172760009766,45.62614059448242,52.54365539550781
2005-03-24,46.53741455078125,45.72267150878906,52.72055435180664
2005-03-28,46.38605499267578,45.6555290222168,52.4981575012207
2005-03-29,46.5766487121582,45.73529052734375,52.63969039916992
2005-03-30,46.683170318603516,45.8528938293457,52.85199737548828
2005-03-31,46.913028717041016,46.012447357177734,53.2411994934082
2005-04-01,47.008056640625,46.054561614990234,53.31064224243164
2005-04-04,46.98554229736328,45.77215576171875,53.36638259887695
2005-04-05,46.99117660522461,45.9112434387207,53.22447204589844
2005-04-06,47.13176727294922,45.88595962524414,53.25485610961914
2005-04-07,46.951812744140625,45.65408706665039,53.04707336425781
2005-04-08,47.00242233276367,45.801666259765625,53.09771728515625
2005-04-11,47.14301681518555,45.92808151245117,53.23967361450195
2005-04-12,47.3904914855957,46.113582611083984,53.52860641479492
2005-04-13,47.413002014160156,46.223182678222656,53.47793197631836
2005-04-14,47.53672790527344,46.054561614990234,53.57926559448242
2005-04-15,47.846038818359375,46.26533889770508,53.8834228515625
2005-04-18,47.74482727050781,46.27377700805664,53.8834228515625
2005-04-19,48.02042007446289,46.467674255371094,54.18757247924805
2005-04-20,47.992271423339844,46.49297332763672,54.278839111328125
2005-04-21,47.64919662475586,46.248497009277344,53.86317443847656
2005-04-22,47.85167694091797,46.467674255371094,54.21800994873047
2005-04-25,47.85167694091797,46.58152770996094,54.1368522644043
2005-04-26,47.82915115356445,46.505611419677734,53.95944595336914
2005-04-27,47.97541809082031,46.733280181884766,53.95944595336914
2005-04-28,48.267906188964844,46.92718505859375,54.37508010864258
2005-04-29,48.09355163574219,46.75855255126953,54.18757247924805
2005-05-02,48.14263153076172,46.77463150024414,54.217594146728516
2005-05-03,48.20467758178711,46.80000305175781,54.19727325439453
2005-05-04,48.193397521972656,46.69422912597656,54.070037841796875
2005-05-05,48.3457145690918,46.761962890625,54.12598419189453
2005-05-06,48.001583099365234,46.50802230834961,53.93771743774414
2005-05-09,47.99590301513672,46.34720230102539,53.963157653808594
2005-05-10,48.16522216796875,46.3387336730957,54.14631652832031
2005-05-11,48.22724914550781,46.38106155395508,54.20231628417969
2005-05-12,48.27239990234375,46.23295593261719,54.192142486572266
2005-05-13,48.396522521972656,46.49111557006836,54.207420349121094
2005-05-16,48.40211486816406,46.41917037963867,54.18705749511719
2005-05-17,48.46422576904297,46.444549560546875,54.30410385131836
2005-05-18,48.622188568115234,46.609622955322266,54.22266387939453
2005-05-19,48.475502014160156,46.54189682006836,54.16668701171875
2005-05-20,48.46986770629883,46.52919006347656,54.36516571044922
2005-05-23,48.68989944458008,46.72386932373047,54.431365966796875
2005-05-24,48.81961441040039,46.8254280090332,54.599281311035156
2005-05-25,48.64474105834961,46.8211669921875,54.40079116821289
2005-05-26,48.67293167114258,46.85081481933594,54.22266387939453
2005-05-27,48.723716735839844,46.84657287597656,54.36009979248047
2005-05-31,48.97763442993164,47.049720764160156,54.599281311035156
2005-06-01,49.27983856201172,47.373008728027344,55.1325569152832
2005-06-02,49.262847900390625,47.555694580078125,54.96882629394531
2005-06-03,48.9798583984375,47.305049896240234,54.78964614868164
2005-06-06,49.11006164550781,47.436729431152344,54.78964614868164
2005-06-07,49.25150680541992,47.5344123840332,54.89200210571289
2005-06-08,49.161014556884766,47.436729431152344,54.738487243652344
2005-06-09,49.132694244384766,47.347503662109375,54.697574615478516
2005-06-10,48.8214111328125,47.135108947753906,54.36486053466797
2005-06-13,48.691261291503906,47.02461242675781,54.201080322265625
2005-06-14,48.63467788696289,46.9736442565918,54.09359359741211
2005-06-15,48.617706298828125,46.88444519042969,54.10894012451172
2005-06-16,48.7705192565918,46.93118667602539,54.30343246459961
2005-06-17,48.71389389038086,46.922706604003906,54.33418273925781
2005-06-20,48.640316009521484,46.867462158203125,54.33928298950195
2005-06-21,48.793148040771484,47.02461242675781,54.40582275390625
2005-06-22,49.161014556884766,47.36028289794922,54.584964752197266
2005-06-23,49.11006164550781,47.39000701904297,54.66170120239258
2005-06-24,49.22889709472656,47.5089225769043,54.76408386230469
2005-06-27,49.26848602294922,47.576942443847656,54.917598724365234
2005-06-28,49.05911636352539,47.42822265625,54.794769287109375
2005-06-29,49.042179107666016,47.453739166259766,54.6514778137207
2005-06-30,49.2119140625,47.62363052368164,54.88180160522461
2005-07-01,48.7884521484375,47.4049186706543,54.5196647644043
2005-07-05,48.58979034423828,47.251380920410156,54.21572494506836
2005-07-06,48.69197082519531,47.35370635986328,54.32393264770508
2005-07-07,48.805503845214844,47.47736358642578,54.36001205444336
2005-07-08,48.629520416259766,47.383544921875,54.10757827758789
2005-07-11,48.606815338134766,47.12344741821289,54.21572494506836
2005-07-12,48.4819221496582,47.01681900024414,54.10757827758789
2005-07-13,48.436492919921875,47.12344741821289,53.97364044189453
2005-07-14,48.37405776977539,47.16606903076172,53.628562927246094
2005-07-15,48.38541793823242,47.1873664855957,53.54610824584961
2005-07-18,48.30599594116211,47.14900207519531,53.36065673828125
2005-07-19,48.37405776977539,47.1873664855957,53.58732223510742
2005-07-20,48.464900970458984,47.238529205322266,53.741878509521484
2005-07-21,48.107295989990234,46.99549865722656,53.48942565917969
2005-07-22,48.334381103515625,47.21296310424805,53.700645446777344
2005-07-25,48.24919509887695,47.208717346191406,53.53581237792969
2005-07-26,48.28322982788086,47.21725845336914,53.58732223510742
2005-07-27,48.21518325805664,47.15753173828125,53.566707611083984
2005-07-28,48.42521667480469,47.336669921875,53.6851921081543
2005-07-29,48.13570022583008,47.230010986328125,53.5255126953125
2005-08-01,48.039424896240234,47.117855072021484,53.444068908691406
2005-08-02,47.99385452270508,47.0322380065918,53.34560012817383
2005-08-03,48.113468170166016,47.143531799316406,53.589290618896484
2005-08-04,48.079315185546875,47.143531799316406,53.59963607788086
2005-08-05,47.82307434082031,47.06222915649414,53.29890060424805
2005-08-08,47.69775390625,46.84809112548828,53.28854751586914
2005-08-09,47.83443069458008,46.92515182495117,53.24708557128906
2005-08-10,47.811676025390625,46.96371841430664,53.215965270996094
2005-08-11,48.01665115356445,47.10926055908203,53.49073791503906
2005-08-12,48.210262298583984,47.33622741699219,53.70851135253906
2005-08-15,48.147605895996094,47.26773452758789,53.70851135253906
2005-08-16,48.37541198730469,47.39188766479492,53.85886001586914
2005-08-17,48.18745803833008,47.26773452758789,53.73961639404297
2005-08-18,48.44373321533203,47.40049362182617,53.90037155151367
2005-08-19,48.41530227661133,47.35759735107422,53.998817443847656
2005-08-22,48.455142974853516,47.33622741699219,53.92108917236328
