date,spy_target,tlt_target,spy_change,tlt_change,turnover
2023-01-04,0.6,0.4,0.6,0.4,1.0
2023-01-05,0.6,0.4,0.0,0.0,0.002841325828025265
2023-01-06,0.6,0.4,0.0,0.0,0.007524261170422708
2023-01-09,0.6,0.4,0.0,0.0,0.0021319697101537805
2023-01-10,0.6,0.4,0.0,0.0,0.0028226091577738255
2023-01-11,0.6,0.4,0.0,0.0,0.011337341679672097
2023-01-12,0.6,0.4,0.0,0.0,0.0017056952643166312
2023-01-13,0.6,0.4,0.0,0.0,0.0076231642715681724
2023-01-17,0.6,0.4,0.0,0.0,0.006370218899982294
2023-01-18,0.6,0.4,0.0,0.0,0.0022313922174624357
2023-01-19,0.6,0.4,0.0,0.0,0.019205069382663864
2023-01-20,0.6,0.4,0.0,0.0,0.0004928710039218687
2023-01-23,0.6,0.4,0.0,0.0,0.01664511828258386
2023-01-24,0.6,0.4,0.0,0.0,0.007976720843228313
2023-01-25,0.6,0.4,0.0,0.0,0.0073800098012056226
2023-01-26,0.6,0.4,0.0,0.0,0.0009829237591073015
2023-01-27,0.6,0.4,0.0,0.0,0.007472982279257523
2023-01-30,0.6,0.4,0.0,0.0,0.0023134969714284637
2023-01-31,0.6,0.4,0.0,0.0,0.004306758159161761
2023-02-01,0.6,0.4,0.0,0.0,0.0031815720654239654
2023-02-02,0.9413289083776907,0.058671091622309324,0.3413289083776907,-0.3413289083776907,0.6833191453404923
2023-02-03,0.9297494348149394,0.07025056518506057,-0.011579473562751241,0.011579473562751241,0.02460402462282276
2023-02-06,0.9075946461808164,0.09240535381918358,-0.022154788634123013,0.022154788634123013,0.04488103056973461
2023-02-07,0.8771309569549633,0.12286904304503665,-0.030463689225853074,0.030463689225853074,0.06114552441890228
2023-02-08,0.8122828890185477,0.18771711098145227,-0.06484806793641562,0.06484806793641562,0.13419778915937902
2023-02-09,0.8049489571638737,0.1950510428361263,-0.007333931854674014,0.007333931854674014,0.00984351837388478
2023-02-10,0.843453430433274,0.15654656956672597,0.03850447326940032,-0.03850447326940032,0.0767543751315882
2023-02-13,0.9114016247984585,0.08859837520154146,0.06794819436518451,-0.06794819436518451,0.13232584948383835
2023-02-14,0.9371425368986757,0.06285746310132434,0.025740912100217117,-0.025740912100217117,0.05095103485839074
2023-02-15,0.95,0.050000000000000044,0.012857463101324296,-0.012857463101324296,0.02549783589152041
2023-02-16,0.95,0.050000000000000044,0.0,0.0,0.0011912667632079654
2023-02-17,0.9401538041620902,0.059846195837909844,-0.009846195837909799,0.009846195837909799,0.019730846362120226
2023-02-21,0.9300545417381445,0.0699454582618555,-0.010099262423945654,0.010099262423945654,0.019040131208137516
2023-02-22,0.9336082788621733,0.06639172113782665,0.003553737124028844,-0.003553737124028844,0.0071902306682262995
2023-02-23,0.9321779542832717,0.06782204571672834,-0.0014303245789016872,0.0014303245789016872,0.0015528536094530782
2023-02-24,0.9055783340828082,0.09442166591719181,-0.02659962020046347,0.02659962020046347,0.05263938655622401
2023-02-27,0.8930724144068845,0.10692758559311555,-0.012505919675923738,0.012505919675923738,0.025412715258721727
2023-02-28,0.8888906776984057,0.11110932230159432,-0.004181736708478767,0.004181736708478767,0.008483895369162484
2023-03-01,0.9168051567881992,0.08319484321180082,0.027914479089793498,-0.027914479089793498,0.05746089499237715
2023-03-02,0.9346345759565577,0.06536542404344226,0.017829419168358562,-0.017829419168358562,0.03460055117568352
2023-03-03,0.95,0.050000000000000044,0.01536542404344221,-0.01536542404344221,0.028710614785005723
2023-03-06,0.95,0.050000000000000044,0.0,0.0,0.000765319674303773
2023-03-07,0.95,0.050000000000000044,0.0,0.0,0.000802199074201683
2023-03-08,0.95,0.050000000000000044,0.0,0.0,0.002068297846758105
2023-03-09,0.9443735976946651,0.05562640230533489,-0.005626402305334843,0.005626402305334843,0.01131430939574092
2023-03-10,0.8853968430204755,0.1146031569795245,-0.05897675467418961,0.05897675467418961,0.11571853141645233
2023-03-13,0.05,0.95,-0.8353968430204755,0.8353968430204755,1.6607784077081256
2023-03-14,0.05,0.95,0.0,0.0,0.0003505875651148155
2023-03-15,0.38127109179737523,0.6187289082026248,0.33127109179737524,-0.33127109179737513,0.6593628682865884
2023-03-16,0.05,0.95,-0.33127109179737524,0.33127109179737513,0.6505950188352674
2023-03-17,0.3370569051338106,0.6629430948661894,0.2870569051338106,-0.28705690513381055,0.5716879798203747
2023-03-20,0.05,0.95,-0.2870569051338106,0.28705690513381055,0.5622522450244094
2023-03-21,0.22694411569352868,0.7730558843064713,0.1769441156935287,-0.17694411569352864,0.3521251350771889
2023-03-22,0.8271044533311239,0.17289554666887608,0.6001603376375952,-0.6001603376375952,1.192670367500086
2023-03-23,0.10195537493331537,0.8980446250666846,-0.7251490783978085,0.7251490783978085,1.4415055369004535
2023-03-24,0.14345755067950364,0.8565424493204964,0.041502175746188266,-0.0415021757461882,0.08250945785539447
2023-03-27,0.177392886549852,0.822607113450148,0.03393533587034836,-0.03393533587034836,0.0672999429789509
2023-03-28,0.8109536925383166,0.18904630746168338,0.6335608059884646,-0.6335608059884646,1.2595768310406137
2023-03-29,0.7287586093217732,0.27124139067822683,-0.08219508321654345,0.08219508321654345,0.1631417529150433
2023-03-30,0.95,0.050000000000000044,0.2212413906782268,-0.2212413906782268,0.4360075617333879
2023-03-31,0.95,0.050000000000000044,0.0,0.0,0.00011847935735585097
2023-04-03,0.9130795293001015,0.0869204706998985,-0.036920470699898456,0.036920470699898456,0.07375790584718474
2023-04-04,0.915929162124143,0.08407083787585701,0.0028496328240414925,-0.0028496328240414925,0.005840393751533238
2023-04-05,0.7719359062207397,0.2280640937792603,-0.14399325590340328,0.14399325590340328,0.28635882534075185
2023-04-06,0.5322928915066584,0.46770710849334163,-0.23964301471408134,0.23964301471408134,0.47468468245945433
2023-04-10,0.5553657220973816,0.44463427790261845,0.02307283059072318,-0.02307283059072318,0.04549344638958658
2023-04-11,0.9005642634680002,0.09943573653199977,0.3451985413706187,-0.3451985413706187,0.6818703985840682
2023-04-12,0.8677531478271951,0.13224685217280485,-0.03281111564080508,0.03281111564080508,0.06530144607208377
2023-04-13,0.8097229805794248,0.19027701942057518,-0.058030167247770326,0.058030167247770326,0.11535818260635616
2023-04-14,0.95,0.050000000000000044,0.14027701942057513,-0.14027701942057513,0.2740992116603299
2023-04-17,0.95,0.050000000000000044,0.0,0.0,0.000638655940704981
2023-04-18,0.95,0.050000000000000044,0.0,0.0,0.0014668363387666389
2023-04-19,0.95,0.050000000000000044,0.0,0.0,0.00027635470217975133
2023-04-20,0.95,0.050000000000000044,0.0,0.0,7.514571773792333e-05
2023-04-21,0.95,0.050000000000000044,0.0,0.0,0.001336996755453651
2023-04-24,0.95,0.050000000000000044,0.0,0.0,0.000607406748137744
2023-04-25,0.95,0.050000000000000044,0.0,0.0,0.0008188031821854264
2023-04-26,0.7691493825321829,0.2308506174678171,-0.18085061746781705,0.18085061746781705,0.35875405995594295
2023-04-27,0.8408994313810577,0.15910056861894228,0.07175004884887481,-0.07175004884887481,0.14120623186111542
2023-04-28,0.95,0.050000000000000044,0.10910056861894224,-0.10910056861894224,0.21033838103092675
2023-05-01,0.95,0.050000000000000044,0.0,0.0,0.0007152172941720658
2023-05-02,0.8803917531888298,0.11960824681117022,-0.06960824681117017,0.06960824681117017,0.1418662463904654
2023-05-03,0.8163365337716437,0.18366346622835628,-0.06405521941718606,0.06405521941718606,0.12044206898138733
